,separation (arcsec),5 sigma contrast,mass detection limit for 57 Myr (Mjup),mass lower limit for 38 Myr (Mjup),mass upper limit for 76 Myr (Mjup),mass detection limit for 100 Myr (Mjup),mass lower limit for 40 Myr (Mjup),mass upper limit for 600 Myr (Mjup)
215,2.73175,2.2729178e-07,1.9923517,1.6477972,2.3283522,2.762809,1.7011354,7.9393167
216,2.7440002,2.2612161e-07,1.9895366,1.6447785,2.3229759,2.7574723,1.6981187,7.9274817
217,2.7562501,2.2516684e-07,1.9872286,1.6423032,2.3185678,2.7530966,1.6956452,7.917777
218,2.7685,2.2375376e-07,1.9837956,1.6386217,2.3120112,2.7465882,1.6919664,7.903343
219,2.78075,2.2162212e-07,1.978575,1.6330228,2.30204,2.7366905,1.6863716,7.881393
220,2.7930002,2.208503e-07,1.9766722,1.6309823,2.298406,2.7330832,1.6843325,7.8733926
221,2.8052502,2.1977345e-07,1.9740067,1.6281238,2.2933152,2.7280297,1.681476,7.8621855
222,2.8175,2.1516664e-07,1.9624529,1.6157331,2.2712483,2.7061255,1.6690943,7.813607
223,2.82975,2.1032834e-07,1.9500492,1.602431,2.2479968,2.68261,1.6558019,7.761456
224,2.8420002,2.0718959e-07,1.9418488,1.5936368,2.235717,2.6670632,1.6470139,7.7269773
225,2.8542502,2.0285327e-07,1.9303122,1.5812646,2.2184415,2.6451917,1.6346507,7.6784716
226,2.8665001,2.0123298e-07,1.9259384,1.5765741,2.2118921,2.6368995,1.6299635,7.660082
227,2.87875,1.9831023e-07,1.9179593,1.568017,2.1999438,2.6217723,1.6214126,7.626534
228,2.891,2.0450858e-07,1.9347453,1.5860188,2.22508,2.6535962,1.6394014,7.697111
229,2.9032502,2.1375585e-07,1.9588648,1.6118851,2.2643955,2.699323,1.6652491,7.798521
230,2.9155002,2.1358433e-07,1.958427,1.6114155,2.263559,2.6984928,1.6647799,7.79668
231,2.92775,2.1285257e-07,1.9565548,1.6094078,2.2599835,2.6949437,1.6627736,7.788809
232,2.94,2.1199091e-07,1.9543434,1.6070364,2.2557602,2.6907513,1.6604038,7.7795115
233,2.9522502,2.1068027e-07,1.9509604,1.6034082,2.2493613,2.6843374,1.6567783,7.765287
